Org_Identifier,Org_FormalName,Project_Identifier,Project_Name,Project_QAPPApproved,Project_QAPPApprovalAgency,ProjectAttachment_FileName,ProjectAttachment_FileType,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,AlternateLocation_IdentifierCount,Activity_ActivityIdentifier,Activity_ActivityIdentifierUserSupplied,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,Activity_BottomDepthSamplingComponent,ActivityBiological_AssemblageSampled,ActivityBiological_ToxicityTestType,Activity_ConductingOrganization,Activity_Comment,ActivityLocation_Latitude,ActivityLocation_Longitude,ActivityLocation_HorzCoordReferenceSystemDatum,ActivityLocation_SourceMapScale,ActivityLocation_LatitudeStandardized,ActivityLocation_LongitudeStandardized,ActivityLocation_HorzCoordStandardizedDatum,ActivityLocation_HorzAccuracyMeasure,ActivityLocation_HorzAccuracyMeasureUnit,ActivityLocation_HorizontalAccuracyHorzCollectionMethod,ActivityLocation_Description,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_EndDate,Activity_EndTime,Activity_EndTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Activity_BottomDepthAltitudeReferencePoint,Activity_ActivityRelativeDepth,Activity_TopDepthMeasure,Activity_TopDepthMeasureUnit,Activity_BottomDepthMeasure,Activity_BottomDepthMeasureUnit,SampleCollectionMethod_Identifier,SampleCollectionMethod_IdentifierContext,SampleCollectionMethod_Name,SampleCollectionMethod_QualifierTypeName,SampleCollectionMethod_Description,SampleCollectionMethod_EquipmentName,SampleCollectionMethod_EquipmentComment,SamplePrepMethod_Identifier,SamplePrepMethod_IdentifierContext,SamplePrepMethod_Name,SamplePrepMethod_QualifierType,SamplePrepMethod_Description,SamplePrepMethod_ContainerLabel,SamplePrepMethod_ContainerType,SamplePrepMethod_ContainerColor,SamplePrepMethod_ChemicalPreservativeUsed,SamplePrepMethod_ThermalPreservativeUsed,SamplePrepMethod_TransportStorageDescription,Activity_HydrologicCondition,Activity_HydrologicEvent,ActivityAttachment_FileName,ActivityAttachment_FileType,ActivityAttachment_FileDownload,Result_DataLoggerLine,Result_ResultDetectionCondition,Result_Characteristic,Result_CharacteristicUserSupplied,Result_CASNumber,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_IndividualIdentifier,ResultBiological_Taxon,ResultBiological_TaxonUserSupplied,ResultBiological_TaxonUserSuppliedReference,ResultBiological_UnidentifiedSpeciesIdentifier,ResultBiological_SampleTissueAnatomy,ResultBiological_GroupSummaryCount,GroupSummaryWeight_Measure,GroupSummaryWeight_MeasureUnit,ResultDepthHeight_Measure,ResultDepthHeight_MeasureUnit,ResultDepthHeight_AltitudeReferencePoint,ResultDepthHeight_SamplingPointName,ResultDepthHeight_SamplingPointType,ResultDepthHeight_SamplingPointPlaceInSeries,ResultDepthHeight_SamplingPointComment,ResultDepthHeight_RecordIdentifierUserSupplied,Result_MeasureIdentifier,Result_Measure,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_StatisticalNValue,Result_MeasureType,Result_WeightBasis,Result_TimeBasis,Result_MeasureTemperatureBasis,Result_MeasureParticleSizeBasis,DataQuality_PrecisionValue,DataQuality_BiasValue,DataQuality_ConfidenceIntervalValue,DataQuality_UpperConfidenceLimitValue,DataQuality_LowerConfidenceLimitValue,DataQuality_ResultComment,DetectionLimit_TypeA,DetectionLimit_MeasureA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentA,DetectionLimit_TypeB,DetectionLimit_MeasureB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentB,LabInfo_LabSampleSplitRatio,LabInfo_LabAccreditationIndicator,LabInfo_LabAccreditationAuthority,LabInfo_TaxonAccreditationIndicator,LabInfo_TaxonAccreditationAuthority,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_QualifierType,ResultAnalyticalMethod_Description,Result_ComparableMethodIdentifier,Result_ComparableMethodIdentifierContext,Result_ComparableMethodModification,LabInfo_Name,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,LabInfo_AnalysisEndDate,LabInfo_AnalysisEndTime,LabInfo_AnalysisEndTimeZone,LabInfo_LaboratoryComment,LabSamplePrepMethod_Identifier,LabSamplePrepMethod_IdentifierContext,LabSamplePrepMethod_Name,LabSamplePrepMethod_QualifierType,LabSamplePrepMethod_Description,LabSamplePrepMethod_StartDate,LabSamplePrepMethod_StartTime,LabSamplePrepMethod_StartTimeZone,LabSamplePrepMethod_EndDate,LabSamplePrepMethod_EndTime,LabSamplePrepMethod_EndTimeZone,LabSamplePrepMethod_DilutionFactor,ResultAttachment_FileName,ResultAttachment_FileType,ResultAttachment_FileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode,USGSSampleAquifer
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-334640085413401,Well JACKSONVILLE HWY 9 Calhoun Cnty AL,Well,,Alabama,United States of America,Calhoun County,US,AL,,03150106,031501060502,,,33.7778799017628,-85.6927403141081,NAD83,33.7778799017628,-85.6927403141081,NAD83,,9100c0f2-17cb-4bd9-8721-dc394b8d5f45,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1988-07-18,15:00:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Ammonia and ammonium,"Total ammonia (NH4+ and NH3) as nitrogen, water, unfiltered",,as N,Unfiltered,,,,,,,,,,,,,,,,,,,6868ad6f-250b-456f-b3bf-9c56fa87c19e,0.020,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00610,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""2507CRK44""]",,,,,,USGS-310110087385001,M 8,Well,,Alabama,United States of America,Baldwin County,US,AL,,03140106,031401060201,,,31.019625470439,-87.6472099423049,NAD83,31.019625470439,-87.6472099423049,NAD83,,1bc4e438-609b-475b-a73b-a4e10a8af20a,,"Sample - Routine, with an associated replicate",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,A-2450104 VOCs have 2 drops of 1:1 HCl. Untreated Drinking Water Sample. Untreated Drinking Water Sample. Treatd with Nitric Acid <pH 2. Untreated Drinking Water Sample,,,,,,,,,,,,2009-09-01,11:50:00,CDT,,,,,,,,,,,,4040,USDOI/USGS,Positive-pressure pumping,,Pump - positive displacement: Positive-pressure pumping,Gear pump,,,,,,,,,,,,,Not applicable,Not applicable,,,,,Not Detected,Nitrite,"Nitrite as nitrogen, water, filtered",14797-65-0,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,bc96b4c3-e391-4fb5-8a79-73250476bf58,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,0.002,mg/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,Interim Reporting Level,0.002,mg/L,Quantitation limit value of the specified type,,,,,,DZ001,USDOI/USGS,"Nitrite, wf, DA, diazo",,"DESCRIPTION: Nitrite, filtered water, discrete analyzer, diazotization and colorimetry (formerly Mcode 00049); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, 217 p., https://pubs.er.usgs.gov/publication/ofr93125 | USGS ",,,,"USGS-National Water Quality Lab, Denver, CO",2009-09-24,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00613,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""CRK42""]",,,,,,USGS-303812088090801,Well FF 5 Mobile Cnty AL,Well,,Alabama,United States of America,Mobile County,US,AL,,03160205,031602050101,,,30.6368581848444,-88.1522237972469,NAD83,30.6368581848444,-88.1522237972469,NAD83,,13970be0-7d0f-4797-9d0e-9082fd5e7415,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,A-1530032 2 drops 1:1 HCL added to 2020,,,,,,,,,,,,2011-06-01,15:00:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,Not applicable,,,,,,Nitrate,"Nitrate as nitrogen, water, filtered",14797-55-8,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,caa52832-01a1-4b0d-bdc6-575ed468211e,0.167,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00618,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-325621087044401,Well  P 7  325621087044401 Bibb County Al,Well,,Alabama,United States of America,Bibb County,US,AL,,03150202,031502020503,,,32.9392905844438,-87.0788830476763,NAD83,32.9392905844438,-87.0788830476763,NAD83,,b2478396-1bd4-458d-b189-8f574ebd5a23,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1982-06-22,14:00:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Nitrite,"Nitrite as nitrite, water, filtered",14797-65-0,as NO2,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,4a322d5c-196f-4730-90d9-65602f71e88f,0.000,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGCY,USDOI/USGS,Legacy computation by algorithm,,"DESCRIPTION: Presumptive computation by NWIS algorithm and legacy storage of that computation prior to an April 1983 decision to produce computations only on output; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,71856,Chepultepec Dolomite
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-331107088180302,Well  P 26 331107088180302 Pickens Cnty AL,Well,,Alabama,United States of America,Pickens County,US,AL,,03160106,031601060505,,,33.1854015052692,-88.3008678559955,NAD83,33.1854015052692,-88.3008678559955,NAD83,,ca263459-9091-4c47-955b-908662264de5,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1985-08-21,09:15:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,Not Detected,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total nitrogen (nitrate + nitrite + total ammonia + organic nitrogen) as nitrogen, water, unfiltered, calculated",,as N,Unfiltered,,,,,,,,,,,,,,,,,,,986b485a-146e-4609-a711-d85c6181b275,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,23,mg/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00600,Holocene Alluvium
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-333256087280701,Well   B  45 Tuscaloosa County Al,Well,,Alabama,United States of America,Tuscaloosa County,US,AL,,03160112,031601120301,,,33.5490015141217,-87.4686149345076,NAD83,33.5490015141217,-87.4686149345076,NAD83,,538c2169-e4dd-40f0-97b6-e0f73465a136,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1978-09-07,12:30:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Nitrate,"Nitrate as nitrogen, water, unfiltered",14797-55-8,as N,Unfiltered,,,,,,,,,,,,,,,,,,,7663d8d9-0b98-4d00-8f7e-8cedfbf10248,0.01,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGCY,USDOI/USGS,Legacy computation by algorithm,,"DESCRIPTION: Presumptive computation by NWIS algorithm and legacy storage of that computation prior to an April 1983 decision to produce computations only on output; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00620,Pottsville Formation
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""CRK42""]",,,,,,USGS-303532088120701,Well FF 6 Mobile Cnty AL,Well,,Alabama,United States of America,Mobile County,US,AL,,03160205,031602050102,,,30.5924151324722,-88.2019474195781,NAD83,30.5924151324722,-88.2019474195781,NAD83,,cd1aeef5-2acb-483c-9ab8-806771c3990d,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,A-1530031 2 drops 1:1 HCL added to 2020,,,,,,,,,,,,2011-06-01,11:15:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,Not applicable,,,,,Not Detected,Orthophosphate,"Orthophosphate as orthophosphate, water, filtered",14265-44-2,as PO4,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,c13af2ce-0cde-42f3-b280-20d0176ff12e,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,0.012,mg/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00660,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-344049086363601,Well  CT- 76 REDSTONE ARSENAL-U.S. ARMY,Well,,Alabama,United States of America,Madison County,US,AL,,06030002,060300020503,,,34.6803689587369,-86.6099933451717,NAD83,34.6803689587369,-86.6099933451717,NAD83,,2c1ad236-f917-40ab-9990-ec7d09b31147,,"Sample - Routine, regular",Water,Groundwater,,,,,,,,,,,,,,,,,1974-06-10,13:30:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Nitrate,"Nitrate as nitrate, water, filtered",14797-55-8,as NO3,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,239e7a40-6083-4513-9d96-0011d741093e,0.050,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGCY,USDOI/USGS,Legacy computation by algorithm,,"DESCRIPTION: Presumptive computation by NWIS algorithm and legacy storage of that computation prior to an April 1983 decision to produce computations only on output; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,71851,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-321151086281101,Well K-8 GEORGE A. SULLIVAN Lowndes Cnty AL,Well,,Alabama,United States of America,Lowndes County,US,AL,,03150201,031502010405,,,32.1976426459981,-86.4696945442008,NAD83,32.1976426459981,-86.4696945442008,NAD83,,b9ed41b0-9f49-4eec-9a7a-610adbeaa803,,"Sample - Routine, regular",Water,Groundwater,,,,,,,,,,,,,,,,,1955-12-08,,CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Nitrate,"Nitrate as nitrogen, water, unfiltered",14797-55-8,as N,Unfiltered,,,,,,,,,,,,,,,,,,,9ea7b9ee-a1dd-42f8-b6a5-44c691190e2e,0.045,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00620,Eutaw Formation
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""450109000""]",,,,,,USGS-322054086143801,Well NAWQA LUSRC1-23 Montgomery Cnty AL,Well,,Alabama,United States of America,Montgomery County,US,AL,,03150201,031502010309,,,32.3484444444444,-86.2441666666667,NAD83,32.3484444444444,-86.2441666666667,NAD83,,c243af09-cfed-4083-afad-bdeec3900616,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,"A-0280074 4 drops hcl l.l#voc3hc151d, exp 4/24/00",,,,,,,,,,,,2000-01-27,14:30:00,CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,Not Detected,Nitrate,"Nitrate as nitrate, water, filtered",14797-55-8,as NO3,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,9144a83a-4141-4c68-90e4-c734645cf3d5,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,0.221,mg/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,71851,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""450109000""]",,,,,,USGS-322332086133401,Well NAWQA LUSRC1-4 Montgomery Cnty AL,Well,,Alabama,United States of America,Montgomery County,US,AL,,03150201,031502010104,,,32.3924166666667,-86.2261111111111,NAD83,32.3924166666667,-86.2261111111111,NAD83,,61cb3484-7781-497d-9aa5-6bcbd749ba09,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,"L-3070043 GCC's, LC0113, and GCV samples found in various prep labs. Added sample types to requests.-RR added FCC, FU, login missed, paa, 11/19/99",,,,,,,,,,,,1999-11-02,14:15:00,CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,Not Detected,Orthophosphate,"Orthophosphate as orthophosphate, water, filtered",14265-44-2,as PO4,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,3278d784-2053-41e4-aacb-d312f3091e35,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,0.031,mg/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00660,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-341814086581201,Well (E-1)O.E. COOK Cullman Cnty AL,Well,,Alabama,United States of America,Cullman County,US,AL,,06030002,060300021003,,,34.3039869813069,-86.9700069099362,NAD83,34.3039869813069,-86.9700069099362,NAD83,,2e9c6ced-68ca-4418-ae6f-f01d8ca0908b,,"Sample - Routine, regular",Water,Groundwater,,,,,,,,,,,,,,,,,1964-09-22,,CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Nitrate,"Nitrate as nitrogen, water, unfiltered",14797-55-8,as N,Unfiltered,,,,,,,,,,,,,,,,,,,578b7163-5a3c-4cc6-a840-f724f1f0e68b,56.2,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00620,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""450109000""]",,,,,,USGS-332630087430001,Well NAWQA FLH 17 Tuscaloosa County Al,Well,,Alabama,United States of America,Tuscaloosa County,US,AL,,03160112,031601120410,,,33.4426111111111,-87.7147222222222,NAD83,33.4426111111111,-87.7147222222222,NAD83,,c5576800-825d-4b00-933c-3ac7685956eb,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,"A-1670073 voc, hcl added:2 drops voc3hc147c",,,,,,,,,,,,1999-06-15,10:00:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Kjeldahl nitrogen,"Total ammonia (NH4+ and NH3) plus organic nitrogen as nitrogen, water, filtered",,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,82e0c921-057d-444c-b268-da29014894cc,0.09,mg/L,,Accepted,,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,KJ002,USDOI/USGS,"NH3+org-N, wf, FCC, Kjeldahl, CF",,"DESCRIPTION: Ammonia plus organic nitrogen, filtered water, Kjeldahl digestion, continuous flow (CF) colorimetry; CITATION(S): Patton, C.J., and Truitt, E.P., 2000, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of ammonium plus organic nitrogen by a Kjeldahl digestion method and an automated photometric finish that includes digest cleanup by gas diffusion: U.S. Geological Survey Open-File Report 00-170, 31 p. | USGS | I-2515-91",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00623,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-333157087294501,Well TEST WELL 28 Tuscaloosa Cnty AL,Well,,Alabama,United States of America,Tuscaloosa County,US,AL,,03160112,031601120301,,,33.532613182774,-87.4958374614296,NAD83,33.532613182774,-87.4958374614296,NAD83,,2c1f44be-4e52-471b-bce5-caadddf61fe8,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1979-03-13,13:15:00,CST,,,,248.0,ft,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,Not Detected,Nitrite,"Nitrite as nitrogen, water, unfiltered",14797-65-0,as N,Unfiltered,,,,,,,,,,,,,,,,,,,bc99980e-8f97-4db0-96c1-e1a5c370f4ee,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,0.010,mg/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00615,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-333437087332901,Well  C 2 333437087332901 Tuscaloosa Cnty AL,Well,,Alabama,United States of America,Tuscaloosa County,US,AL,,03160112,031601120406,,,33.5770569342192,-87.5580625803996,NAD83,33.5770569342192,-87.5580625803996,NAD83,,c0fdf020-77f8-45ca-9103-08224373f793,,"Sample - Routine, regular",Water,Groundwater,,,,,,,,,,,,,,,,,1977-09-15,,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Nitrate,"Nitrate as nitrate, water, unfiltered",14797-55-8,as NO3,Unfiltered,,,,,,,,,,,,,,,,,,,44b4bcf0-21cb-4296-9a1c-0d6a27cfc5ca,4.1,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,71850,Pottsville Formation
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment""]",,,,,,USGS-322405087342601,Well I 66 Dayton Well Near Linden Al,Well,,Alabama,United States of America,Marengo County,US,AL,,03160201,031602010102,,,32.4014722222222,-87.5738333333333,NAD83,32.4014722222222,-87.5738333333333,NAD83,,1314f9c8-d0e7-4d13-ae95-96680d2e70e6,,"Sample - Routine, regular",Water,Groundwater,,,,,L-2250122 Samples were received chilled at the WHOI lab,,,,,,,,,,,,2013-08-12,13:30:00,CDT,,,,,,,,,,,,8040,USDOI/USGS,Spigot,,Point / Grab: Spigot,,,,,,,,,,,,,,Not applicable,Not applicable,,,,,Not Detected,Nitrate,"Nitrate as nitrogen, water, filtered",14797-55-8,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,f1c95f3c-070b-454b-b357-44018f5ebdc2,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,0.040,mg/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00618,
